"System","Type","Name","SubName","Datatype","Description"
"Asana","projects","archived","","boolean",""
"Asana","projects","color","","string",""
"Asana","projects","completed","","boolean",""
"Asana","projects","completed_at","","null",""
"Asana","projects","created_at","","string",""
"Asana","projects","current_status.author.gid","","string",""
"Asana","projects","current_status.author.name","","string",""
"Asana","projects","current_status.author.resource_type","","string",""
"Asana","projects","current_status.color","","string",""
"Asana","projects","current_status.created_at","","string",""
"Asana","projects","current_status.created_by.gid","","string",""
"Asana","projects","current_status.created_by.name","","string",""
"Asana","projects","current_status.created_by.resource_type","","string",""
"Asana","projects","current_status.gid","","string",""
"Asana","projects","current_status.modified_at","","string",""
"Asana","projects","current_status.resource_type","","string",""
"Asana","projects","current_status.text","","string",""
"Asana","projects","current_status.title","","string",""
"Asana","projects","current_status_update.gid","","string",""
"Asana","projects","current_status_update.resource_subtype","","string",""
"Asana","projects","current_status_update.resource_type","","string",""
"Asana","projects","current_status_update.title","","string",""
"Asana","projects","custom_field_settings","custom_field","object",""
"Asana","projects","custom_field_settings","gid","string",""
"Asana","projects","custom_field_settings","is_important","boolean",""
"Asana","projects","custom_field_settings","parent","object",""
"Asana","projects","custom_field_settings","project","object",""
"Asana","projects","custom_field_settings","resource_type","string",""
"Asana","projects","custom_fields","","array",""
"Asana","projects","default_view","","string",""
"Asana","projects","due_date","","null",""
"Asana","projects","due_on","","null",""
"Asana","projects","followers","gid","string",""
"Asana","projects","followers","name","string",""
"Asana","projects","followers","resource_type","string",""
"Asana","projects","gid","","string",""
"Asana","projects","members","gid","string",""
"Asana","projects","members","name","string",""
"Asana","projects","members","resource_type","string",""
"Asana","projects","modified_at","","string",""
"Asana","projects","name","","string",""
"Asana","projects","notes","","string",""
"Asana","projects","owner.gid","","string",""
"Asana","projects","owner.name","","string",""
"Asana","projects","owner.resource_type","","string",""
"Asana","projects","permalink_url","","string",""
"Asana","projects","public","","boolean",""
"Asana","projects","resource_type","","string",""
"Asana","projects","start_on","","null",""
"Asana","projects","team.gid","","string",""
"Asana","projects","team.name","","string",""
"Asana","projects","team.resource_type","","string",""
"Asana","projects","workspace.gid","","string",""
"Asana","projects","workspace.name","","string",""
"Asana","projects","workspace.resource_type","","string",""
"Asana","users","email","","string",""
"Asana","users","gid","","string",""
"Asana","users","name","","string",""
"Asana","users","photo.image_1024x1024","","string",""
"Asana","users","photo.image_128x128","","string",""
"Asana","users","photo.image_21x21","","string",""
"Asana","users","photo.image_27x27","","string",""
"Asana","users","photo.image_36x36","","string",""
"Asana","users","photo.image_60x60","","string",""
"Asana","users","resource_type","","string",""
"Asana","users","workspaces","gid","string",""
"Asana","users","workspaces","name","string",""
"Asana","users","workspaces","resource_type","string",""
